name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
La Coupole				Helfaut							
Musée de la mine				Oignies							
Musée de l'hôtel Sandelin				Saint-Omer							
Musée Boucher de Perthes				Abbeville							
Musée Somme 1916				Albert							
Musée de Picardie				Amiens							
Collection Charles de l'Escalopier				Amiens							
Musée de l'Hôtel de Berny				Amiens							
Musée Municipal A. Danicourt				Péronne							
Museum of the Great War				Péronne							
Maison atelier Jean-François Millet				Barbizon							
Musée départemental de l'École de Barbizon				Barbizon							
Musée Alfred-Bonno				Chelles							
Musée municipal des Capucins				Coulommiers							
Musée Louis Braille				Coupvray							
Jardin-musée Bourdelle d'Égreville				Égreville							
Musée de Fontainebleau				Fontainebleau							
Musée d'Art et d'Histoire Militaire				Fontainebleau							
Musée Gatien-Bonnet				Lagny-sur-Marne							
Musée Chapu				Le Mée-sur-Seine							
Dépôt-musée de Longueville				Longueville							
Musée Bossuet				Meaux							
Musée de Melun				Melun							
Musée de Préhistoire d'Île-de-France				Nemours							
Château-musée de Nemours				Nemours							
Musée départemental des Pays de Seine-et-Marne				Saint-Cyr-sur-Morin							
Musée départemental Stéphane Mallarmée				Vulaines-sur-Seine							
Musée de la batellerie				Conflans-Sainte-Honorine							
Musée Claude-Debussy				Saint-Germain-en-Laye							
Musée des Antiquités Nationales				Saint-Germain-en-Laye							
Musée départemental Maurice Denis "The Priory"				Saint-Germain-en-Laye							
Musée et domaine national des Châteaux de Versailles et de Trianon				Versailles							
Public Establishment of the Palace, Museum and National Estate of Versailles				Versailles							
International Museum of Naive Art				Vicq							
Musée Delta Athis Paray Aviation				Athis-Mons							
Musée de la Photographie				Bièvres							
Musée Robert Dubois-Corneau				Brunoy							
Musée Paul Delouvrier				Évry							
Aérodrome de Cerny				La Ferté-Alais							
Musée Josèphe Jacquiot				Montgeron							
Musée du Hurepoix				Palaiseau							
Musée des Années Trente				Boulogne-Billancourt							
Musée des transports urbains, interurbains et ruraux				Colombes							
Musée Français de la Carte à Jouer				Issy-les-Moulineaux							
Musée national du château de Bois-Préau				Rueil-Malmaison							
Musée national du château de Malmaison				Rueil-Malmaison							
Musée de l'Île-de-France				Sceaux							
Sèvres – Cité de la céramique				Sèvres							
Musée de l'Air et de l'Espace				Le Bourget							
ROSNY-RAIL : Musée Régional du Chemin de Fer de Rosny-sous-Bois				Rosny-sous-Bois							
Musée de la Résistance Nationale				Champigny-sur-Marne							
Musée Fragonard				Maisons-Alfort							
Musée de Nogent-sur-Marne				Nogent-sur-Marne							
Villa Médicis - Carré Médicis				Saint-Maur-des-Fossés							
Musée historique du donjon de Vincennes				Vincennes							
Musée d'Art Contemporain du Val-de-Marne				Vitry-sur-Seine							
Musée d'Argenteuil				Argenteuil							
Musée des tramways à vapeur et des chemins de fer secondaires français				Butry-sur-Oise							
Musée national de la Renaissance				Écouen							
Musée archéologique départemental du Val-d'Oise				Guiry-en-Vexin							
Musée d'art et d'histoire Louis Senlecq				L'Isle-Adam							
Archéa				Louvres							
Musée Jean-Jacques Rousseau				Montmorency							
Musée Tavet-Delacour				Pontoise							
Musée Pissarro				Pontoise							
Musée de la 2nde guerre mondiale				Avranches							
Mémorial du Général de Gaulle				Bayeux							
Musée Baron Gérard				Bayeux							
Musée de la Tapisserie de Bayeux				Bayeux							
