lat,lon
58.590000,-4.819194
56.190417,-5.520056
54.840444,-4.056833
52.137861,-4.643333
50.402500,-5.082500
49.671222,-1.700806
48.196750,-4.306667
46.299583,-1.197500
43.417056,-3.333361
42.781639,-9.065472
39.788306,-9.016278
43.373750,4.822472
41.411194,12.760806
41.246222,16.509972
45.313750,13.584028
43.009556,17.280806
40.706667,19.366250
38.343306,22.673778
37.097500,22.967028
40.191278,23.684972
45.714556,29.630750
46.489583,32.428361
45.329556,32.989972
46.086694,34.806250
46.658750,36.221639
38.034944,27.067083
36.681222,27.555000
36.328722,29.208333
36.363306,32.202056
36.912917,35.995806
33.647417,35.397833
31.199583,33.984944
31.128722,33.448306
31.516639,34.425361
33.230806,35.212028
34.652361,35.970472
40.356250,28.922472
41.154194,31.337083
41.879972,35.133722
40.986222,38.767528
45.606611,37.597917
45.880806,34.782944
57.928722,-5.218389
58.132056,-3.610000
54.061667,-0.209139
51.355389,3.286528
52.499167,4.589139
53.428750,6.543278
53.590417,9.644972
39.601194,121.557444
39.440389,125.372528
37.899556,125.401639
36.902472,126.227861
43.331111,131.809972
49.678306,140.506278
52.804139,141.167472
51.410778,142.084194
54.307917,137.501639
57.031611,138.909167
58.643306,141.612556
59.229139,146.327444
59.630806,149.099139
59.020417,152.381667
52.829972,156.150806
53.011222,158.438361
54.121611,159.982472
56.193750,162.384972
56.124944,163.155750
56.227083,162.598361
50.665361,-125.885028
49.648722,-123.730861
47.684194,-122.405444
48.287917,-124.358417
48.052389,-123.012194
45.767306,-123.984389
39.333167,-123.819833
36.639000,-121.935333
32.167306,-116.909417
27.516722,-114.704972
31.417556,-113.624083
26.940667,-109.882583
25.282500,-108.497944
21.481611,-105.203528
14.574694,-92.275806
45.410028,-64.060833
50.289972,-59.920833
59.894389,-65.167806
59.325306,-77.803556
57.675333,-76.864333
54.971639,-78.559778
59.250583,-94.789389
59.024556,6.488333
58.960833,11.119194
57.379139,12.129167
59.165389,18.403333
58.982889,23.453306
54.481611,19.677417
56.102889,10.546639
55.941639,8.144139
54.265000,-9.892528
52.609972,-9.325861
56.845778,-5.712528
55.781667,-4.862556
52.984139,-4.460833
50.771250,-4.578361
49.455389,0.230806
48.316389,-4.307139
46.704972,-1.979667
43.289583,-2.177500
42.621639,-8.887944
39.247500,-9.341278
43.429972,4.592861
42.338778,11.558361
40.034167,18.016222
45.709583,13.371583
42.840417,17.719139
