name,lat,lon,country_code,feature_code
Milk Beach,-33.856800,151.267900,AU,BCH
Burgess Beach,-32.198500,152.534610,AU,BCH
Burrill Beach,-35.381800,150.467900,AU,BCH
Boyds Beach,-34.631800,150.851200,AU,BCH
Breakaway Beach,-36.431800,150.067900,AU,BCH
Budgewoi Beach,-33.231800,151.567900,AU,BCH
Carters Beach,-36.198500,150.134600,AU,BCH
Chinamens Beach,-29.131800,153.451200,AU,BCH
Connors Beach,-31.048500,153.051190,AU,BCH
Dirty Haul Beach,-33.798500,151.267900,AU,BCH
Gap Beach,-31.048500,153.051190,AU,BCH
Handkerchief Beach,-36.248500,150.134600,AU,BCH
Jaggers Beach,-36.448500,150.067900,AU,BCH
Jones Beach,-34.631800,150.851200,AU,BCH
Kianga Beach,-36.181800,150.134600,AU,BCH
Main Beach,-36.415200,150.067900,AU,BCH
Moorhead Beach,-36.415200,150.067900,AU,BCH
New Zealand Beach,-29.131800,153.451200,AU,BCH
North Wollongong Beach,-34.415200,150.901200,AU,BCH
O’Connors Beach,-31.048500,153.051190,AU,BCH
Old Bar Beach,-31.965200,152.584600,AU,BCH
One Tree Beach,-36.048500,150.134600,AU,BCH
Third Beach,-31.065200,153.051190,AU,BCH
Wallabi Beach,-32.001000,152.567900,AU,BCH
Bengello Beach,-35.865200,150.167890,AU,BCH
Cowdroys Beach,-36.665200,149.984600,AU,BCH
Dalmeny Beach,-36.165200,150.117910,AU,BCH
Duesburys Beach,-36.181800,150.134600,AU,BCH
Gillards Beach,-36.658000,150.003690,AU,BCH
Hobart Beach,-36.781800,149.934600,AU,BCH
Penders Beach,-36.631800,150.017900,AU,BCH
Potato Point Beach,-36.081800,150.134600,AU,BCH
Yabbara Beach,-36.165200,150.134600,AU,BCH
Lilli Pilli Beach,-35.774300,150.231000,AU,BCH
Waterfall Beach,-33.199900,151.619290,AU,BCH
Gravelly Beach,-33.195700,151.625400,AU,BCH
Coral Fern Beach,-33.181800,151.629000,AU,BCH
Ghosties Beach,-33.176300,151.634600,AU,BCH
