"REF_DATE","GEO","DGUID","Airports","Domestic and international itinerant movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Yukon","2016A000260","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030840","1060.100003.2","","..","","","0"
"2022-01","Yukon","2016A000260","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030841","1060.100003.3","","..","","","0"
"2022-01","Northwest Territories","2016A000261","Total, all airports","Domestic movements","Number","223","units","0","v1376030842","1061.100001.1","3825","","","","0"
"2022-01","Northwest Territories","2016A000261","Total, all airports","Transborder movements","Number","223","units","0","v1376030843","1061.100001.2","4","","","","0"
"2022-01","Northwest Territories","2016A000261","Total, all airports","Other international movements","Number","223","units","0","v1376030844","1061.100001.3","","..","","","0"
"2022-01","Northwest Territories","2016A000261","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030845","1061.100002.1","3287","","","","0"
"2022-01","Northwest Territories","2016A000261","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030846","1061.100002.2","4","","","","0"
"2022-01","Northwest Territories","2016A000261","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030847","1061.100002.3","","..","","","0"
"2022-01","Northwest Territories","2016A000261","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030848","1061.100003.1","538","","","","0"
"2022-01","Northwest Territories","2016A000261","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030849","1061.100003.2","","..","","","0"
"2022-01","Northwest Territories","2016A000261","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030850","1061.100003.3","","..","","","0"
"2022-01","Nunavut","2016A000262","Total, all airports","Domestic movements","Number","223","units","0","v1376030851","1062.100001.1","1626","","","","0"
"2022-01","Nunavut","2016A000262","Total, all airports","Transborder movements","Number","223","units","0","v1376030852","1062.100001.2","4","","","","0"
"2022-01","Nunavut","2016A000262","Total, all airports","Other international movements","Number","223","units","0","v1376030853","1062.100001.3","20","","","","0"
"2022-01","Nunavut","2016A000262","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030854","1062.100002.1","1626","","","","0"
"2022-01","Nunavut","2016A000262","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030855","1062.100002.2","4","","","","0"
"2022-01","Nunavut","2016A000262","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030856","1062.100002.3","20","","","","0"
"2022-01","Nunavut","2016A000262","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030857","1062.100003.1","","..","","","0"
"2022-01","Nunavut","2016A000262","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030858","1062.100003.2","","..","","","0"
"2022-01","Nunavut","2016A000262","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030859","1062.100003.3","","..","","","0"
"2022-02","Canada","2016A000011124","Total, all airports","Domestic movements","Number","223","units","0","v1376030734","1.100001.1","175357","","","","0"
"2022-02","Canada","2016A000011124","Total, all airports","Transborder movements","Number","223","units","0","v1376030735","1.100001.2","18213","","","","0"
"2022-02","Canada","2016A000011124","Total, all airports","Other international movements","Number","223","units","0","v1376030736","1.100001.3","9205","","","","0"
"2022-02","Canada","2016A000011124","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030737","1.100002.1","162438","","","","0"
"2022-02","Canada","2016A000011124","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030738","1.100002.2","18111","","","","0"
"2022-02","Canada","2016A000011124","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030739","1.100002.3","9094","","","","0"
"2022-02","Canada","2016A000011124","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030740","1.100003.1","12919","","","","0"
"2022-02","Canada","2016A000011124","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030741","1.100003.2","102","","","","0"
"2022-02","Canada","2016A000011124","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030742","1.100003.3","111","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total, all airports","Domestic movements","Number","223","units","0","v1376030743","1010.100001.1","5306","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total, all airports","Transborder movements","Number","223","units","0","v1376030744","1010.100001.2","162","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total, all airports","Other international movements","Number","223","units","0","v1376030745","1010.100001.3","287","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030746","1010.100002.1","3680","","","","0"
